kohde,jasen,pvknro,sp,IKAL1,ASALUE,V1,V21,V22,V5,H1a_A,H1b_A
50002,1,1,1,6,1.0,0.0,0.0,0.0,0.0,2.0,2.0
50002,1,2,1,6,1.0,380.0,0.0,0.0,10.0,2.0,2.0
50003,1,1,2,5,2.0,0.0,50.0,0.0,60.0,2.0,1.0
50003,1,2,2,5,2.0,0.0,50.0,0.0,50.0,2.0,1.0
50004,2,1,1,7,1.0,640.0,0.0,0.0,0.0,2.0,1.0
50004,2,2,1,7,1.0,0.0,0.0,0.0,10.0,2.0,1.0
50005,1,1,2,6,1.0,0.0,0.0,0.0,80.0,2.0,2.0
50005,1,2,2,6,1.0,0.0,0.0,0.0,40.0,2.0,2.0
50006,1,1,2,4,2.0,0.0,70.0,90.0,60.0,2.0,1.0
50006,1,2,2,4,2.0,0.0,40.0,40.0,30.0,2.0,1.0
50014,2,1,1,7,1.0,0.0,0.0,0.0,50.0,2.0,1.0
50014,2,2,1,7,1.0,0.0,0.0,0.0,0.0,2.0,1.0
50016,1,1,1,8,1.0,270.0,0.0,0.0,10.0,2.0,2.0
50017,1,1,1,7,2.0,0.0,0.0,0.0,60.0,2.0,1.0
50017,1,2,1,7,2.0,0.0,0.0,0.0,40.0,2.0,1.0
50020,1,1,2,4,2.0,0.0,120.0,20.0,30.0,2.0,2.0
50020,1,2,2,4,2.0,0.0,0.0,0.0,0.0,2.0,2.0
50028,1,1,2,5,1.0,0.0,20.0,0.0,0.0,1.0,2.0
50028,1,2,2,5,1.0,440.0,0.0,0.0,0.0,1.0,2.0
50030,1,1,1,6,2.0,430.0,0.0,0.0,20.0,1.0,1.0
50030,1,2,1,6,2.0,0.0,0.0,0.0,30.0,1.0,1.0
50031,1,1,2,7,3.0,0.0,0.0,0.0,60.0,2.0,2.0
50031,1,2,2,7,3.0,0.0,0.0,0.0,50.0,2.0,2.0
50034,1,1,2,6,1.0,440.0,0.0,0.0,10.0,2.0,1.0
50034,1,2,2,6,1.0,0.0,0.0,0.0,100.0,2.0,1.0
50050,1,1,2,7,1.0,0.0,0.0,0.0,30.0,1.0,1.0
50050,1,2,2,7,1.0,420.0,0.0,0.0,30.0,1.0,1.0
50053,2,1,1,8,1.0,0.0,0.0,0.0,40.0,2.0,1.0
50053,2,2,1,8,1.0,0.0,0.0,0.0,40.0,2.0,1.0
50059,2,1,2,5,1.0,0.0,50.0,110.0,40.0,1.0,2.0
50059,2,2,2,5,1.0,0.0,70.0,130.0,20.0,1.0,2.0
50061,1,1,1,7,1.0,0.0,0.0,0.0,130.0,2.0,2.0
50061,1,2,1,7,1.0,0.0,0.0,0.0,110.0,2.0,2.0
50065,1,1,2,8,1.0,0.0,0.0,0.0,90.0,2.0,1.0
50065,1,2,2,8,1.0,0.0,0.0,0.0,180.0,2.0,1.0
50085,2,1,2,7,1.0,0.0,0.0,0.0,80.0,2.0,2.0
50085,2,2,2,7,1.0,0.0,0.0,0.0,60.0,2.0,2.0
50090,2,1,1,8,3.0,0.0,0.0,,40.0,2.0,1.0
50090,2,2,1,8,3.0,0.0,0.0,0.0,60.0,2.0,1.0
50098,1,1,2,6,1.0,0.0,80.0,0.0,180.0,1.0,1.0
50098,1,2,2,6,1.0,400.0,40.0,0.0,70.0,1.0,1.0
50101,1,1,1,6,1.0,0.0,0.0,0.0,10.0,1.0,2.0
50101,1,2,1,6,1.0,0.0,0.0,0.0,0.0,1.0,2.0
50111,2,1,1,7,2.0,,,,,1.0,1.0
50111,2,2,1,7,2.0,,,,,1.0,1.0
50114,2,1,2,5,1.0,,,,,1.0,1.0
50114,2,2,2,5,1.0,,,,,1.0,1.0
50115,1,1,2,7,1.0,0.0,0.0,0.0,60.0,1.0,2.0
50115,1,2,2,7,1.0,0.0,0.0,0.0,60.0,1.0,2.0
50118,1,1,2,7,1.0,0.0,0.0,0.0,40.0,1.0,1.0
50118,1,2,2,7,1.0,0.0,0.0,0.0,70.0,1.0,1.0
50120,1,1,2,4,2.0,0.0,90.0,0.0,100.0,2.0,2.0
50120,1,2,2,4,2.0,90.0,190.0,0.0,70.0,2.0,2.0
50127,1,1,2,4,1.0,,,,,2.0,2.0
50127,1,2,2,4,1.0,,,,,2.0,2.0
50128,2,1,2,7,1.0,430.0,0.0,0.0,0.0,2.0,2.0
50128,2,2,2,7,1.0,0.0,0.0,0.0,30.0,2.0,2.0
