kohde;jasen;pvknro;sp;ASALUE;IKAL1;V1;V5;V7;V21;V22;V27;V32;V33;V40;V68;V69;V70;V75;H1a_A;H1b_A;H1g_A;H1h_A;H1i_A
50002;1;1;1;1.0;6;0;0;0;0;0;0;560;50;0;0;0;210;0;2.0;2.0;1.0;1.0;1.0
50002;1;2;1;1.0;6;380;10;0;0;0;0;450;70;0;10;0;130;0;2.0;2.0;1.0;1.0;1.0
50003;1;1;2;2.0;5;0;60;?;50;0;0;470;90;0;30;0;180;0;2.0;1.0;1.0;1.0;1.0
50003;1;2;2;2.0;5;0;50;10;50;0;50;550;180;0;0;0;90;0;2.0;1.0;1.0;1.0;1.0
50004;2;1;1;1.0;7;640;0;?;0;0;0;410;30;0;0;0;60;0;2.0;1.0;2.0;1.0;1.0
50004;2;2;1;1.0;7;0;10;0;0;0;0;550;70;0;70;0;180;0;2.0;1.0;2.0;1.0;1.0
50005;1;1;2;1.0;6;0;80;40;0;0;0;540;100;0;40;80;140;120;2.0;2.0;1.0;2.0;2.0
50005;1;2;2;1.0;6;0;40;0;0;0;0;550;80;0;50;50;120;130;2.0;2.0;1.0;2.0;2.0
50006;1;1;2;2.0;4;0;60;50;70;90;0;540;60;0;0;0;160;10;2.0;1.0;1.0;1.0;2.0
50006;1;2;2;2.0;4;0;30;40;40;40;10;530;90;0;60;0;60;10;2.0;1.0;1.0;1.0;2.0
50014;2;1;1;1.0;7;0;50;0;0;0;40;540;100;0;160;0;90;30;2.0;1.0;1.0;1.0;2.0
50014;2;2;1;1.0;7;0;0;0;0;0;0;440;150;0;60;0;110;30;2.0;1.0;1.0;1.0;2.0
50016;1;1;1;1.0;8;270;10;0;0;0;20;660;50;0;0;0;170;30;2.0;2.0;2.0;2.0;2.0
50017;1;1;1;2.0;7;0;60;0;0;0;20;420;50;0;150;0;220;0;2.0;1.0;2.0;1.0;2.0
50017;1;2;1;2.0;7;0;40;0;0;0;90;510;80;0;40;0;240;0;2.0;1.0;2.0;1.0;2.0
50020;1;1;2;2.0;4;0;30;50;120;20;50;520;110;0;0;0;40;0;2.0;2.0;1.0;1.0;2.0
50020;1;2;2;2.0;4;0;0;0;0;0;0;290;20;0;0;0;0;0;2.0;2.0;1.0;1.0;2.0
50028;1;1;2;1.0;5;0;0;10;20;0;0;630;120;0;30;0;80;0;1.0;2.0;2.0;1.0;1.0
50028;1;2;2;1.0;5;440;0;0;0;0;10;460;140;0;0;0;50;0;1.0;2.0;2.0;1.0;1.0
50030;1;1;1;2.0;6;430;20;0;0;0;10;340;60;0;0;0;240;0;1.0;1.0;2.0;1.0;1.0
50030;1;2;1;2.0;6;0;30;0;0;0;0;570;110;0;70;0;190;0;1.0;1.0;2.0;1.0;1.0
50031;1;1;2;3.0;7;0;60;40;0;0;40;400;40;0;120;0;270;20;2.0;2.0;2.0;2.0;2.0
50031;1;2;2;3.0;7;0;50;0;0;0;0;610;70;0;30;0;320;0;2.0;2.0;2.0;2.0;2.0
50034;1;1;2;1.0;6;440;10;10;0;0;?;530;100;0;50;0;20;0;2.0;1.0;2.0;1.0;2.0
50034;1;2;2;1.0;6;0;100;20;0;0;0;590;210;0;60;0;120;0;2.0;1.0;2.0;1.0;2.0
50050;1;1;2;1.0;7;0;30;20;0;0;20;480;30;0;100;0;170;80;1.0;1.0;2.0;1.0;2.0
50050;1;2;2;1.0;7;420;30;0;0;0;10;420;90;0;90;0;120;0;1.0;1.0;2.0;1.0;2.0
50053;2;1;1;1.0;8;0;40;10;0;0;50;560;150;0;20;0;90;0;2.0;1.0;1.0;1.0;1.0
50053;2;2;1;1.0;8;0;40;0;0;0;30;520;80;0;30;0;260;20;2.0;1.0;1.0;1.0;1.0
50059;2;1;2;1.0;5;0;40;30;50;110;100;610;70;0;10;0;60;0;1.0;2.0;2.0;2.0;2.0
50059;2;2;2;1.0;5;0;20;20;70;130;50;580;100;0;90;0;170;?;1.0;2.0;2.0;2.0;2.0
50061;1;1;1;1.0;7;0;130;20;0;0;0;480;150;0;30;0;120;20;2.0;2.0;2.0;2.0;1.0
50061;1;2;1;1.0;7;0;110;40;0;0;30;550;160;0;?;0;100;0;2.0;2.0;2.0;2.0;1.0
50065;1;1;2;1.0;8;0;90;20;0;0;0;600;90;0;30;0;170;50;2.0;1.0;2.0;1.0;2.0
50065;1;2;2;1.0;8;0;180;0;0;0;40;600;90;0;0;0;50;0;2.0;1.0;2.0;1.0;2.0
50085;2;1;2;1.0;7;0;80;30;0;0;0;550;110;0;90;20;110;0;2.0;2.0;2.0;1.0;2.0
50085;2;2;2;1.0;7;0;60;10;0;0;0;530;90;0;110;0;180;0;2.0;2.0;2.0;1.0;2.0
50090;2;1;1;3.0;8;0;40;10;0;?;0;550;70;0;0;0;210;0;2.0;1.0;2.0;1.0;2.0
50090;2;2;1;3.0;8;0;60;20;0;0;0;490;90;0;0;0;130;0;2.0;1.0;2.0;1.0;2.0
50098;1;1;2;1.0;6;0;180;40;80;0;0;500;40;0;50;0;170;40;1.0;1.0;1.0;2.0;2.0
50098;1;2;2;1.0;6;400;70;0;40;0;60;530;90;0;0;0;0;0;1.0;1.0;1.0;2.0;2.0
50101;1;1;1;1.0;6;0;10;0;0;0;0;610;20;0;0;20;170;0;1.0;2.0;2.0;1.0;1.0
50101;1;2;1;1.0;6;0;0;0;0;0;0;590;50;0;20;40;0;0;1.0;2.0;2.0;1.0;1.0
50111;2;1;1;2.0;7;00:00;00:00;00:00;00:00;00:00;00:20;07:50;01:20;00:00;00:40;00:00;02:20;00:40;1.0;1.0;1.0;1.0;1.0
